name,address,access,remarks,latitude,longitude
マルエツ新志津店ゲームコーナー,佐倉市西志津4-1-1,,,,
臼井メルヘンランド,佐倉市王子台1-23,うすい駅,,,
ガロパ佐倉,佐倉市井野1475,志津駅東葉勝田台駅勝田台駅,,,
パラボランド東金,東金市東岩崎8-10 サンピア 3F,,,,
ピットイン東金,東金市家之子荒蒔467-9,,,,
T/S旭サンモール店,旭市イ-2676-1 サンモール3F,,,,
セガワールド旭,旭市ニ字野場3150-1,,「ニ」はイロハニのニ,,
GAME PIA津田沼,習志野市津田沼1-2-1 B1F,津田沼駅/新津田沼駅,旧：AM PIA津田沼,,
DEEP,習志野市大久保1-17-11,京成大久保駅,看板は無いが営業中,,
スーパービバホーム新習志野店2Fゲームコーナー,習志野市茜浜1-1-2,南船橋駅から徒歩10分,2015/7/2オープン,,
アドアーズ新習志野店,習志野市茜浜2-1-9,新習志野駅,,,
Kid's US.LAND 新習志野店,習志野市茜浜2-2-1ハイパーモールメルクス新習志野店 2F,時間制ゲーセン,,,
ラウンドワン習志野店,習志野市芝園1-4-5,,,,
モーリーファンタジー津田沼店,習志野市津田沼1-23-1　イオンモール津田沼3F,,イオン棟の中です,,
モーリーファンタジー東習志野店,習志野市東習志野6-7-8　イオンタウン東習志野1F,,,,
アミュージアム東習志野店,習志野市東習志野7-3-1 イトーヨーカドー東習志野店 4F,,元:ハローズガーデン,,
ジョイランド大久保,習志野市大久保1-27-3,2014/11/25 閉店,,,
新宝島津田沼店,習志野市谷津1-16-1 モリシア津田沼2F,2016年6月閉店,,,
ゲームアルファ,柏市柏1-1-11 ファミリ柏 B1F,柏駅,,,
ゴジラ,柏市柏1-1-11 ファミリ柏 B1F,,,,
ハイテクセガ柏,柏市柏1-1-11 ファミリ柏 B1F,,,,
ハイテクセガ柏2号店,柏市柏1-1-11,,,,
ゲームガリバー柏,柏市柏1-1-11 ファミリ柏 B1F,,,,
アドアーズ柏,柏市柏1-3-1 柏長崎屋共同ビル1F,旧：ゲームファンタジア柏,,,
T/S柏店,柏市柏2-3-1 フーサワビル,旧：クラブセガ柏,,,
ビーワン,柏市旭町1-1-16 中崎ビル B1F,,,,
T/S新柏PAZ店,千葉県柏市名戸ヶ谷字中久保888-1 パズ新柏2F,,旧：S/T柏,,
T/Sセブンパークアリオ柏店,柏市大島田950-1,,2016/4/25開店,,
ラウンドワンスタジアムアリオ柏店,柏市大島田950-1-1070,,2016/4/25開店,,
ドリパかしわ店,柏市大山台2-3 モラージュ柏2F,,旧：H/T柏,,
TFSイオンモール柏店,柏市豊町2-5-25 イオンモール柏 3F,,旧：新宝島柏店,,
モーリーファンタジー柏店,柏市豊町2-5-25 イオンモール柏 2F,,イオン棟の中です,,
タイトーFステーション 柏中央店,柏市十余二249-5,,SUPER WAVE 柏から店名変更,,
チャリオット五井,市原市五井2965-5,五井駅前,,,
チャリオット辰巳,市原市市原500-1,八幡宿駅徒歩約20分,,,
プラサカプコンちはら台店,市原市ちはら台西3-4unimoちはら台SC内1-2F,京成千原線ちはら台駅徒歩10分,,,
ラウンドワン市原店,市原市八幡北町3-5-1,JR浜野駅,,,
こころっこ姉崎店,市原市姉崎645-1イトーヨーカドー姉崎店3F,,,,
ロッキーワールド市原店,市原市八幡1049-1,八幡宿駅,,,
H/T流山,流山市流山9-800-2イトーヨーカドー流山店内3F,流鉄平和台,,,
ウェアハウス南流山,流山市南流山4-16-6,南流山駅,,,
アットホーム南柏,流山市向小金1-241-1 PAT流山 2F,,インターネットカフェ,,
namco流山おおたかの森S・C店,流山市西初石6-185-2おおたかの森S･C 3F,つくばエクスプレス・東武野田線 流山おおたかの森駅,旧：NLドンどこフェスタ店,,
キャッツアイ八千代店,八千代市吉橋1851 ism緑が丘,東葉高速鉄道八千代緑が丘,半額マシン多い,,
ナムコランドアクアサーカス店,八千代市緑が丘2-1-3イオンモール八千代緑が丘4F,H/T八千代跡地,,,
モーリーファンタジー八千代緑が丘店,八千代市緑が丘2-1-3　イオンモール八千代緑が丘4F,,イオン棟の中です,,
ラッキー八千代店(ラッキーバッティングドーム),八千代市大和田新田字八幡後1088,,,,
ラウンドワン八千代村上店,八千代市村上南1-5-54,,,,
アプレシオ八千代,八千代市勝田台南1-18-1,,インターネットカフェ,,
キーステーション我孫子,我孫子市根戸1019-10,,該当住所なし。情報古い?,,
セガ我孫子,我孫子市柴崎字天王谷47-1,,旧：SW我孫子,,
ティックタックワールド鴨川,鴨川市横渚973-1フローレ鴨川 4F,安房鴨川駅,,,
アミューズメントシティラクゾー　鴨川店,鴨川市横渚973-1フローレ鴨川 4F,元・ストライカーズ鴨川ボウル,,,
BIT-INN,君津市南子安9-6-30,君津駅徒歩約45分,,,
ゲームダ・カーポ,君津市外箕輪92,,,,
ゲーム&スポーツポポロ,君津市坂田673-12,君津駅徒歩約30分,,,
プラサカプコン富津店,富津市青木124-1 イオンモール富津内,,,,
ゲームプラザセントラル浦安,浦安市北栄1-16-15 第四セントラルビル,浦安駅,,,
ファーストランドプラザサンルート,浦安市舞浜1-6 サンルートプラザ東京 1F,,,,
メルヘンランドホテル東急,浦安市舞浜1-7 東京ベイホテル東急 3F,,,,
ナムコランドシェラトントーキョーベイ店,浦安市舞浜1-9 シェラトンホテル オアシス棟内2F,,宿泊とは関係なく遊べます,,
宝島新浦安店,浦安市入船1-4-1 ダイエーショッパーズプラザ新浦安 4F,新浦安駅,宝島新浦安店のOPはUCOではない（OPはメダルバンクでおなじみのフォリオ）,,
ポニー,四街道市中央5 イトーヨーカドー四街道店,,住所はこの通りです,,
八街ヤングボウル,八街市八街ほ380-11,JR総武本線八街駅 徒歩15分,,,
モーリーファンタジー八街店,八街市文違301,,,,
ゆにろーず千葉ニュータウン,印西市船尾400-3,,,,
プラサカプコン千葉ニュータウン店,印西市中央北3-3イオンモール千葉ニュータウン シネマ・スポーツ棟2F,千葉ニュータウン中央駅,,,
モーリーファンタジー千葉ニュータウン店,印西市中央北3-1-1 イオンモール千葉ニュータウン3F,,旧：ファンタジーアイランド…イオン棟の中です,,
RAKUZO,印西市草深字原2072 牧の原MORE内,印西牧の原駅,ゲーム縮小,,
